Company name,Segment,Printer manufacturer,Printer model,Number of printers,Count type,Process,Material type,Material format,Country,Update year
Agile Space Industries – Agile Additive,Printing services,Trumpf,TruPrint 5000,1,Actual,PBF-LB,Metal,,United States,2025
Alaska 3D Printing,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
Alpha Additive Manufacturing Technologies,Printing services,Intamsys,,1,Minimum,MEX,Polymer,,United States,2025
American Additive Manufacturing,Printing services,Formlabs,,3,Actual,VPP,Polymer,,United States,2023
American Additive Manufacturing,Printing services,Formlabs,,2,Actual,VPP,Polymer,,United States,2022
American Additive Manufacturing,Printing services,Stratasys,,6,Actual,MEX,,,United States,2023
American Additive Manufacturing,Printing services,Stratasys,,5,Actual,MEX,,,United States,2022
American Cladding,Printing services,,,1,Minimum,pDED-LB,Metal,,United States,2025
AMfg Labs,Printing services,,,9,Actual,BJT,Metal,,United States,2025
AmPd Labs,Printing services,,,1,Minimum,BJT,Metal,,United States,2025
AmPd Labs,Printing services,,,1,Minimum,PBF-LB,Polymer,,United States,2025
AmPd Labs,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
ARCH Additive,Printing services,Colibrium Additive,Arcam,3,Actual,PBF-EB,Metal,,United States,2025
ARCH Additive,Printing services,EOS,,1,Actual,PBF-LB,Metal,,United States,2025
Archematerial,Printing services,,,1,Minimum,PBF-EB,Metal,,United States,2025
Archematerial,Printing services,,,1,Minimum,PBF-LB,Metal,,United States,2025
Areion3D,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
Aristo Cast,Printing services,3D Systems,Pro Jet 2500 IC,4,Actual,MJT,Polymer,,United States,2025
Aristo Cast,Printing services,Voxeljet,VX1000,1,Actual,BJT,Sand,,United States,2025
Aristo Cast,Printing services,Admatec,ADMAFLEX 300,2,Actual,VPP,Ceramic,,United States,2025
Aristo Cast,Printing services,3D Systems,Thermojet,2,Actual,MJT,Wax,,United States,2025
Aristo Cast,Printing services,Stratasys,F370,1,Actual,MEX,Polymer,,United States,2025
Aristo Cast,Printing services,3D Systems,FabPro 1000,1,Actual,VPP,Wax,,United States,2025
Armadillo Additive,Printing services,,,1,Minimum,,,,United States,2025
Armstrong RM,Printing services,,,1,Minimum,,,,United States,2025
ARRK North America,Printing services,,,8,Minimum,PBF-LB,Polymer,,United States,2025
ARRK North America,Printing services,,,9,Minimum,VPP,Polymer,,United States,2025
ARRK North America,Printing services,,,1,Minimum,MEX,,,United States,2025
Applied Rapid Technologies (ART),Printing services,3D Systems,,3,Actual,VPP,Polymer,,United States,2023
Applied Rapid Technologies (ART),Printing services,Nexa3D,,8,Actual,VPP,,,United States,2023
Applied Rapid Technologies (ART),Printing services,Uniontech,,2,Actual,VPP,,,United States,2023
Applied Rapid Technologies (ART),Printing services,ZRapid,,1,Actual,,,,United States,2023
Applied Rapid Technologies (ART),Printing services,Nexa3D,,8,Minimum,VPP,,,United States,2025
Applied Rapid Technologies (ART),Printing services,Uniontech,,2,Minimum,VPP,,,United States,2025
Applied Rapid Technologies (ART),Printing services,ZRapid,,1,Minimum,,,,United States,2025
Applied Rapid Technologies (ART),Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
Applied Rapid Technologies (ART),Printing services,,,1,Minimum,PBF-LB,Metal,,United States,2025
Applied Rapid Technologies (ART),Printing services,,,1,Minimum,PBF-LB,Polymer,,United States,2025
"Ashland Foundry and Machine Works, LLC",Printing services,,,1,Minimum,BJT,Sand,,United States,2025
ATI Specialty Materials (Allegheny Technologies Incorporated),Printing services,Nikon SLM,600E,1,Minimum,PBF-LB,Metal,,United States,2025
Aurora Quickturn,Printing services,Concept Laser,,1,Minimum,PBF-LB,Metal,,United States,2025
Autotiv Manufacturing (Autotiv MFG),Printing services,,,6,Actual,VPP,Polymer,,United States,2023
Autotiv Manufacturing (Autotiv MFG),Printing services,,,1,Actual,PBF-LB,Polymer,,United States,2023
Autotiv Manufacturing (Autotiv MFG),Printing services,,,50,Actual,MEX,Polymer,,United States,2023
Autotiv Manufacturing (Autotiv MFG),Printing services,,,30,Actual,MEX,Polymer,,United States,2022
Autotiv Manufacturing (Autotiv MFG),Printing services,,,4,Actual,VPP,Polymer,,United States,2022
Auxetic,Printing services,HP,,1,Minimum,,,,Canada,2025
Avid Product Development ,Printing services,,,1,Minimum,VPP,Polymer,,Canada,2025
Avid Product Development ,Printing services,,,1,Minimum,MEX,Polymer,,Canada,2025
Avid Product Development ,Printing services,,,1,Minimum,PBF-IR,Polymer,,Canada,2025
Axis Prototypes Inc.,Printing services,Viper,Si2,1,Actual,VPP,Polymer,,Canada,2025
Axis Prototypes Inc.,Printing services,,,5,Actual,VPP,Polymer,,Canada,2025
Axis Prototypes Inc.,Printing services,,,3,Actual,PBF-LB,Polymer,,United States,2025
Axis Prototypes Inc.,Printing services,EOS,M270,1,Actual,PBF-LB,Metal,,United States,2025
Axis Prototypes Inc.,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
Axis Prototypes Inc.,Printing services,Objet,Connex 500,1,Actual,MJT,Polymer,,United States,2025
Azoth 3D,Printing services,,,1,Minimum,BJT,Metal,,United States,2025
Azoth 3D,Printing services,Rize,,1,Minimum,MEX,Polymer,,United States,2025
Azoth 3D,Printing services,Desktop Metal,,1,Minimum,MEX,Metal,,United States,2025
Azoth 3D,Printing services,,,1,Minimum,PBF-LB,Polymer,,United States,2025
Azoth 3D,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
B-jetting,Printing services,B-jetting,Educator,3,Actual,BJT,"Metal, polymer, and ceramic",,United States,2024
B-jetting,Printing services,B-jetting,Researcher,2,Actual,BJT,"Metal, polymer, and ceramic",,United States,2024
B-jetting,Printing services,Bambu Lab,X1C,1,Actual,MEX,Polymer,,United States,2024
B-jetting,Printing services,Raise3D,Pro2 Plus,1,Actual,MEX,Polymer,,United States,2024
"Baker Industries, Inc.",Printing services,,,1,Minimum,wDED-Arc,Metal,,United States,2025
"Baker Industries, Inc.",Printing services,,,1,Minimum,PBF-LB,Metal,,United States,2025
"Baker Industries, Inc.",Printing services,,,1,Minimum,BJT,Metal,,United States,2025
"Baker Industries, Inc.",Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
"Baker Industries, Inc.",Printing services,,,1,Minimum,PBF-IR,Polymer,,United States,2025
